,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2001-02-01,132784.58717331162,214163.6363578249,114623.32814896671,165803.28298186485,185230.0050585457,113222.3619774519,125992.15533634431,222547.01117502476,142458.82785475862,184208.29313298533,197795.17055886704,136857.41118467975,175320.1058354228,160524.35121004796,206996.9279645055,149759.14278510856,177713.28968521184,132533.43676046014,,142432.38481438623,109407.38257110513,160097.58626025132,104369.8747866536,118407.58440173672,133435.62235784085,124269.4927398889,113425.11630505015,157141.78714918948,,144191.53055137055,144151.15341372482,118547.28914241646,103301.00886871845,126059.38958556937,90473.29728253756,91108.03255062636,101253.84292923927,77270.28026676044,125169.6604569143,,175702.307967854,89049.6891012923,103021.4847060272,91948.17668717017,156869.39362088786,,85437.3208597868,108236.67357674433,118103.62793807137,95870.05512221485,110711.94800870617
2001-03-01,133623.87223946507,216369.19431669114,115315.30734482517,166716.59509699704,186693.9268964233,113001.67151985597,126506.46628945065,224942.49718796395,143078.59107746874,184993.69170177283,199668.42818731978,137540.33842083532,176473.14437114247,161358.9941208833,207579.8539246474,151434.044431202,177883.56583942904,133205.44852539652,,143737.31701150662,109973.1714832619,160659.0971828476,104809.5168542912,118883.5093302165,133798.8681368284,125199.0691758509,113735.92673018186,157600.60880557747,,145336.3930148007,149053.2760375291,119700.11455298409,103652.34789297344,126588.51221717148,90752.229850691,91322.49375039461,101252.4575035729,77608.23953710841,125717.26366472569,,176723.14551283675,89481.21669116178,103426.77322542788,92599.00666971032,157631.3795996355,,85802.81916122528,108693.53034525074,115725.78196316499,96062.6764798657,111028.25889813562
2001-04-01,134501.1587386929,219111.50633933218,116132.70214096527,167670.13003997714,188240.79079684755,112872.37526635469,126957.10963385172,227417.4782224634,143708.66395854772,185761.83422285193,201492.14091598545,138236.16470808777,178228.38365112097,162193.45725586519,208276.00391538523,153161.70900111028,178060.49235326485,133824.90488963257,,145150.53157447107,110466.59223374313,161414.87210805478,105281.24752650368,119209.46088395116,134067.38477155866,126132.89200141637,113982.88880946387,158001.13286256103,,146667.54161016239,152763.67332212767,120608.34446619214,103905.66793391928,127172.13985652378,90925.69675047335,91502.12956944229,101207.11635540659,77766.70381874162,126244.53014269075,,177902.51248675855,89868.17121916676,103948.17600246689,93160.68076775929,158357.97483598848,,86146.17635185209,109104.5631028774,112330.87889023183,96328.80726076076,111341.47571851406
2001-05-01,135471.52354125693,221859.49582890933,117027.99597459893,168723.2197257174,189767.49347992803,112915.78739934853,127503.80280130457,229974.5352193454,144348.2171378104,186425.87073409752,203312.2350454214,139064.23515908033,180231.9593677138,163081.78091544818,209282.2367151015,155090.0742811906,178161.10526853093,134509.2103093318,,146594.6218551836,110917.3848044047,162299.48208607023,105732.70351243344,119577.38011837039,134379.80611465257,126995.37208536132,114267.90209023988,158451.0058767737,,148083.6323449027,155838.3033421292,121694.0535418971,104156.48181343166,127775.07972660418,91243.43166506807,91824.95634800952,101407.3418898995,78076.78509127992,126760.47835847894,,179230.78101563264,90272.53010904265,104567.02089119972,93685.24924932269,159111.48085076906,,86447.0723907944,109706.10751348823,108817.62458789612,96633.50047960994,111681.29395285367
2001-06-01,136442.09367516486,224355.8169436792,117962.53839515882,169885.5774396124,191468.2727164511,113047.42264509045,128061.91864166733,232659.44197624014,144993.30839341122,187105.45868401465,204938.530855619,139936.89880165862,182164.8698737037,163943.2202497491,210425.5521903799,157153.8510105599,178329.5178276111,135192.49956029464,,148040.04978983235,111329.90408715454,163364.32713895486,106192.34559891881,119968.16506595888,134694.05256113436,127809.15510587629,114546.16028192114,158920.10370478823,,149544.23354542966,158420.1418283675,122892.07866302144,104414.7341776224,128411.075401755,91604.40508363718,92167.58731411408,101762.66428698093,78391.17178542425,127144.2636540951,,180569.62250133572,90703.21660555342,105243.67639823006,94193.30556595493,159851.3468069229,,86745.60088501293,110016.00997243765,107933.2925554575,97022.148184762,112015.8363625183
2001-07-01,137487.13209769272,226692.93712265443,118967.19869294803,171105.87978976793,193299.74615044225,113202.05404695193,128640.52003386423,235506.62487198735,145607.04830831257,187748.2123551784,206542.37659074992,140837.12979610075,184107.6805372835,164861.16666483015,211680.69790915042,159219.2938834742,178469.53083961006,135873.99505356222,,149555.96343923835,111726.04016605357,164508.8103981053,106686.87094560801,120446.78434851456,134994.01096004425,128644.06875130715,114812.85015375893,159469.31705394085,,151110.25311090233,160841.83418170555,124242.34284144694,104706.9101085186,129088.50025599099,92020.57338769472,92452.07809134242,102194.24757592789,78705.47216100397,127537.9970057039,,181867.44302079055,91132.85426548251,105935.00252094433,94691.37131705844,160555.69590340645,,87026.79217696365,110312.34889535663,107906.32964661244,97415.3536361688,112389.08619513521
2001-08-01,138539.87358868265,228944.7873451009,120032.07115738804,172386.82967055764,195321.367606363,113340.94852073117,129253.65246396737,238609.02727581246,146214.0030907893,188540.07732646898,208122.3235563835,141938.9526019951,186249.42555870747,165797.47521973136,212905.09303299032,161106.03462650775,178742.06407462107,136566.0661428326,,151206.71921407524,112172.31230283504,165770.82553633818,107231.62694851251,120837.88740672194,135335.37011313144,129412.27191579522,115126.92118978244,160094.09731558597,,152982.82442093908,162594.42446815674,125400.22176389111,104966.72050889376,129801.93393034197,92367.05674525646,92775.20487599447,102573.36034066137,78996.78583605956,128015.13183903958,,183547.6076258214,91512.25041422743,106569.15114416466,95158.59914233186,161301.71933096304,,87340.92598687149,110383.20107650121,108073.77563068527,97845.13894751815,112803.40337558596
2001-09-01,139625.2054331392,231130.41895837546,121136.03830645916,173639.65458059823,197489.14965670832,113487.02716564083,129920.30660439919,241622.89992232292,146824.91331131186,189259.15562872076,209606.60376687333,143203.63722618608,188526.189454695,166763.81044319065,214259.23378323254,163002.05131215294,178995.13171368194,137255.68468178273,,152968.63119515058,112624.16273141158,167063.5573178375,107782.99815665396,121172.47542477021,135684.33546123237,130187.84177045106,115459.71703246866,160679.9872003457,,155040.74428677908,163825.3113438807,126499.0132169047,105258.64683158889,130519.43421554973,92664.25997566227,93072.50224904611,102775.92797388422,79244.2311790586,128529.68673920142,,185407.65520078925,91838.60853564572,107178.62677094935,95578.44889994214,162094.99333869177,,87671.05055845436,110475.76047958904,108307.57330009788,98274.26025050161,113225.98348927808
2001-10-01,140664.31481099906,233174.03156530313,122243.034703303,174958.29751313597,199750.98208250047,113639.82223520643,130595.24176306538,244835.75596788697,147485.0003427488,190062.1181523857,210903.62134061023,144658.5981050575,190809.3134334872,167745.2740115613,215643.89500780872,164822.28035972465,179260.98147223136,137937.47991813626,,154788.82258815292,113067.18413002302,168296.22429979953,108289.65453267896,121484.94676305249,136068.4477497157,131021.72413496026,115824.98631450266,161244.73079654019,,157339.05548005633,164644.6973705909,127487.06540054626,105594.19399588027,131216.36254759846,92854.75157962681,93532.63705492999,103086.11999238131,79510.16504705355,129013.62650470911,,187504.38208028252,92125.70224267927,107815.25502950192,95991.75452961556,162942.08639188347,,87980.34981931676,110687.59038905718,108532.73748073919,98710.50431889608,113631.48892074592
2001-11-01,141739.74733747783,235093.87729070708,123304.6867904474,176338.69033397172,201819.61818096097,113751.4600433453,131207.80669179576,247992.12822475433,148168.93243533807,190768.1536874016,211960.55395714878,145768.76232795286,192988.6650280455,168662.5191011579,216873.15227426394,166578.29398965996,179455.26612330988,138555.3656578576,,156521.11349534875,113491.42710108541,169503.04027337139,108804.13699515945,121812.3063467907,136368.399853569,132012.9963520227,116124.27255862566,161747.6996898733,,159394.18718888177,165585.32509315806,128659.45405880823,105923.20614048117,131879.1940779161,92985.94710918477,93877.66274564067,103328.14905516295,79670.63536429292,129321.22071047488,,189336.43940274193,92399.89699579407,108493.56923429132,96391.3897399027,163823.27246681854,,88235.3700958672,110940.11701932111,108754.45137002865,99132.19334345865,113997.93246011196
